"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.731731917E0,1.436292659E-2,3.725845516E-1,6.845588088E-1,7.795167121E-1
2.741747917E0,-1.014620997E-3,3.595570028E-1,6.917632818E-1,7.796272865E-1
2.751763917E0,-1.800239272E-2,3.447189331E-1,6.927257180E-1,7.739665041E-1
2.761779917E0,-3.360439092E-2,3.390140831E-1,6.856472492E-1,7.656186740E-1
2.771794917E0,-4.933062196E-2,3.271057606E-1,6.669028401E-1,7.444401165E-1
2.781810917E0,-5.416490138E-2,3.068358302E-1,6.421945691E-1,7.137898345E-1
2.791826917E0,-6.229260191E-2,2.897540629E-1,6.119391918E-1,6.799318787E-1
2.801842917E0,-7.141906768E-2,2.730264068E-1,5.746579170E-1,6.402154509E-1
2.811858917E0,-7.642527670E-2,2.502649128E-1,5.345454216E-1,5.951572542E-1
2.821874917E0,-7.473883033E-2,2.277628034E-1,4.844344854E-1,5.404984348E-1
2.831890917E0,-7.215396315E-2,2.062018514E-1,4.339148402E-1,4.858060173E-1
2.841906917E0,-6.673611701E-2,1.887242049E-1,3.759174049E-1,4.258925101E-1
2.851922917E0,-5.891441926E-2,1.647461802E-1,3.151699007E-1,3.604778481E-1
2.861938917E0,-4.719696939E-2,1.359720975E-1,2.516748905E-1,2.899245001E-1
2.871954917E0,-3.562020883E-2,1.107266471E-1,1.845877320E-1,2.181784142E-1
2.881970917E0,-2.573808655E-2,8.902238309E-2,1.182030514E-1,1.501978533E-1
2.891986917E0,-9.416904300E-3,6.012602150E-2,5.229061469E-2,8.023792703E-2
2.902002917E0,9.800340980E-3,3.060939908E-2,-1.903237961E-2,3.735255639E-2
2.912018917E0,2.530553192E-2,6.432157010E-3,-8.818721771E-2,9.197134313E-2
2.922034917E0,3.834493086E-2,-1.916811988E-2,-1.557370722E-1,1.615295212E-1
2.932050917E0,5.127670988E-2,-4.092161730E-2,-2.198516130E-1,2.294310604E-1
2.942066917E0,6.939113140E-2,-6.547436118E-2,-2.803292572E-1,2.961190868E-1
2.952082917E0,7.715184987E-2,-8.862388134E-2,-3.440523148E-1,3.635637435E-1
2.962098917E0,8.916226774E-2,-1.101277471E-1,-4.006569684E-1,4.249753369E-1
2.972114917E0,9.753764421E-2,-1.385886818E-1,-4.506570399E-1,4.814687761E-1
2.982130917E0,9.851983935E-2,-1.634005755E-1,-4.978691339E-1,5.331787518E-1
